title,url,press_release
"
								Morning News Call - India, July 23",/article/india-morningcall/morning-news-call-india-july-23-idINL3N2EU0I2,8:51am IST
"
								U.S. home sales rack up record gain; tight supply, COVID-19 seen slowing momentum",/article/us-usa-economy-housing/u-s-home-sales-rack-up-record-gain-tight-supply-covid-19-seen-slowing-momentum-idINKCN24N22B,7:00am IST
"
								Breakingviews - Corona Capital: Thanksgiving shopping, Airlines",/article/us-health-coronavirus-finance-breakingvi/breakingviews-corona-capital-thanksgiving-shopping-airlines-idINKCN24N2XV,2:56am IST
"
								U.S. mortgage refis surge as rates fall to historically low levels",/article/us-usa-mortgages/u-s-mortgage-refis-surge-as-rates-fall-to-historically-low-levels-idINKCN24N2WT,2:32am IST
"
								CORRECTED-Who still needs the office? U.S. companies start cutting space",/article/usa-results-realestate/corrected-who-still-needs-the-office-u-s-companies-start-cutting-space-idINL2N2ES1CV,1:27am IST
"
								U.S. home sales rack up record gain; tight supply, COVID-19 seen slowing momentum",/article/usa-economy/u-s-home-sales-rack-up-record-gain-tight-supply-covid-19-seen-slowing-momentum-idINKCN24N2AD,22 Jul 2020
"
								WRAPUP 2-U.S. home sales rack up record gain; tight supply, COVID-19 seen slowing momentum",/article/usa-economy/wrapup-2-u-s-home-sales-rack-up-record-gain-tight-supply-covid-19-seen-slowing-momentum-idINL2N2ET0TA,22 Jul 2020
"
								U.S. existing home sales post record increase in June",/article/usa-economy-housing/u-s-existing-home-sales-post-record-increase-in-june-idINL2N2ET0RN,22 Jul 2020
"
								FACTBOX-Global central bank response to the coronavirus outbreak",/article/health-coronavirus-rates/factbox-global-central-bank-response-to-the-coronavirus-outbreak-idINL3N2C32BP,22 Jul 2020
"
								BoE seeks more level mortgage playing field for small banks",/article/us-boe-banks/boe-seeks-more-level-mortgage-playing-field-for-small-banks-idINKCN24N1CJ,22 Jul 2020
"
								Low Fed rates, flight to the suburbs set to boost U.S. homebuilders",/article/us-usa-homebuilders-results/low-fed-rates-flight-to-the-suburbs-set-to-boost-u-s-homebuilders-idINKCN24M2L1,22 Jul 2020
"
								PREVIEW-Low Fed rates, flight to the suburbs set to boost U.S. homebuilders",/article/usa-homebuilders-results/preview-low-fed-rates-flight-to-the-suburbs-set-to-boost-u-s-homebuilders-idINL3N2ER3CQ,21 Jul 2020
"
								FACTBOX-Global economic policy response to the coronavirus crisis",/article/health-coronavirus-economy/factbox-global-economic-policy-response-to-the-coronavirus-crisis-idINL4N2CV1PJ,21 Jul 2020
"
								Adobe, IBM team up on marketing software for banking industry",/article/us-adobe-ibm/adobe-ibm-team-up-on-marketing-software-for-banking-industry-idINKCN24M1LW,21 Jul 2020
"
								Adobe, IBM team up on marketing software for banking industry",/article/adobe-ibm/adobe-ibm-team-up-on-marketing-software-for-banking-industry-idINKCN24M1LK,21 Jul 2020
"
								European banks face more than 400 billion euros in COVID loan losses",/article/uk-health-coronavirus-europe-banks/european-banks-face-more-than-400-billion-euros-in-covid-loan-losses-idINKCN24M164,21 Jul 2020
"
								China keeps lending benchmark LPR steady for third month, as expected",/article/us-china-economy-lpr/china-keeps-lending-benchmark-lpr-steady-for-third-month-as-expected-idINKCN24L04R,20 Jul 2020
"
								China keeps lending benchmark LPR steady for 3rd month, as expected",/article/china-economy-lpr/china-keeps-lending-benchmark-lpr-steady-for-3rd-month-as-expected-idINAZN00KP7R,20 Jul 2020
"
								UK housing mini-boom is gathering pace, property firm Rightmove says",/article/us-health-coronavirus-britain-housing/uk-housing-mini-boom-is-gathering-pace-property-firm-rightmove-says-idINKCN24K0UO,20 Jul 2020
"
								UK housing mini-boom is gathering pace, property firm Rightmove says",/article/health-coronavirus-britain-housing/uk-housing-mini-boom-is-gathering-pace-property-firm-rightmove-says-idINL5N2EO374,20 Jul 2020
"
								Saudi Real Estate Refinance Co signs 3 billion riyals deal with pension agency",/article/us-saudi-housing-src/saudi-real-estate-refinance-co-signs-3-billion-riyals-deal-with-pension-agency-idINKCN24K0HR,19 Jul 2020
"
								‘Ugly face’: U.S. and China trade barbs in Myanmar as South China Sea rift deepens",/article/usa-china-southchinasea-myanmar/ugly-face-u-s-and-china-trade-barbs-in-myanmar-as-south-china-sea-rift-deepens-idINKCN24K084,19 Jul 2020
"
								Flight to suburbs boosts U.S. homebuilding, but COVID-19 surge erodes consumer sentiment",/article/us-usa-economy/flight-to-suburbs-boosts-u-s-homebuilding-but-covid-19-surge-erodes-consumer-sentiment-idINKCN24I1OY,18 Jul 2020
"
								Flight to suburbs boosts U.S. homebuilding, but COVID-19 surge erodes consumer sentiment",/article/usa-economy/flight-to-suburbs-boosts-u-s-homebuilding-but-covid-19-surge-erodes-consumer-sentiment-idINKCN24I1SH,18 Jul 2020
"
								Breakingviews - Corona Capital: Newspapers, 747s",/article/us-health-coronavirus-finance-breakingvi/breakingviews-corona-capital-newspapers-747s-idINKCN24I16F,17 Jul 2020
"
								WRAPUP 2-Flight to suburbs boosts U.S. homebuilding, but COVID-19 surge erodes consumer sentiment",/article/usa-economy/wrapup-2-flight-to-suburbs-boosts-u-s-homebuilding-but-covid-19-surge-erodes-consumer-sentiment-idINL2N2EO0L2,17 Jul 2020
"
								Quicken Loans parent expects profit to surge ahead of U.S. IPO",/article/us-rocket-companies-inc-ipo/quicken-loans-parent-expects-profit-to-surge-ahead-of-u-s-ipo-idINKCN24I24O,17 Jul 2020
"
								Quicken Loans parent expects profit to surge ahead of U.S. IPO",/article/rocket-companies-inc-ipo/quicken-loans-parent-expects-profit-to-surge-ahead-of-u-s-ipo-idINL3N2EO36R,17 Jul 2020
"
								As big U.S. banks let customers delay payments, loan losses remain unclear",/article/usa-banks-forbearance/as-big-u-s-banks-let-customers-delay-payments-loan-losses-remain-unclear-idINKCN24I1FO,17 Jul 2020
"
								CORRECTED-As big U.S. banks let customers delay payments, loan losses remain unclear",/article/usa-banks-forbearance/corrected-as-big-u-s-banks-let-customers-delay-payments-loan-losses-remain-unclear-idINL2N2EK1BA,17 Jul 2020
